"filename", "language", "Markdown", "JavaScript", "CSS", "JSON", "HTML", "XML", "comment", "blank", "total"
"/home/radislav/Рабочий стол/RadAir-Delivery/README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 33, 71
"/home/radislav/Рабочий стол/RadAir-Delivery/package-lock.json", "JSON", 0, 0, 0, 17604, 0, 0, 0, 1, 17605
"/home/radislav/Рабочий стол/RadAir-Delivery/package.json", "JSON", 0, 0, 0, 39, 0, 0, 0, 1, 40
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/favicon.svg", "XML", 0, 0, 0, 0, 0, 24, 0, 1, 25
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/badge.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/bag.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/basket.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/call.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/checkbox.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 1, 5
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/eye-off.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/eye.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/help.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/home.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/list.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/location.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/lock.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/map.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/profile.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/search.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/searching.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/settings.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/undo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/assets/icons/work.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/radislav/Рабочий стол/RadAir-Delivery/public/index.html", "HTML", 0, 0, 0, 0, 22, 0, 1, 8, 31
"/home/radislav/Рабочий стол/RadAir-Delivery/public/manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"/home/radislav/Рабочий стол/RadAir-Delivery/src/App.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 4, 28
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/BackBtn.jsx", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 4, 32
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/BgDop.jsx", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 13
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/BurgerMenu.jsx", "JavaScript", 0, 104, 0, 0, 0, 0, 5, 10, 119
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/Button.jsx", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 1, 14
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/Card.jsx", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/CardProduct.jsx", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/FormLogin.jsx", "JavaScript", 0, 166, 0, 0, 0, 0, 4, 11, 181
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/FormRegister.jsx", "JavaScript", 0, 207, 0, 0, 0, 0, 6, 11, 224
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/Fotter.jsx", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 3, 19
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/GeoModal.jsx", "JavaScript", 0, 253, 0, 0, 0, 0, 13, 43, 309
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/Header.jsx", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 4, 26
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/Main.jsx", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"/home/radislav/Рабочий стол/RadAir-Delivery/src/components/Search.jsx", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 4, 26
"/home/radislav/Рабочий стол/RadAir-Delivery/src/index.css", "CSS", 0, 0, 284, 0, 0, 0, 5, 40, 329
"/home/radislav/Рабочий стол/RadAir-Delivery/src/index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 2, 15
"/home/radislav/Рабочий стол/RadAir-Delivery/src/pages/Admin.jsx", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 5, 29
"/home/radislav/Рабочий стол/RadAir-Delivery/src/pages/Auth.jsx", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"/home/radislav/Рабочий стол/RadAir-Delivery/src/pages/Home.jsx", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 5, 46
"/home/radislav/Рабочий стол/RadAir-Delivery/src/pages/NotFound.jsx", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"/home/radislav/Рабочий стол/RadAir-Delivery/src/pages/Register.jsx", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"/home/radislav/Рабочий стол/RadAir-Delivery/src/pages/Search.jsx", "JavaScript", 0, 77, 0, 0, 0, 0, 3, 11, 91
"/home/radislav/Рабочий стол/RadAir-Delivery/src/stores/AuthContext.jsx", "JavaScript", 0, 43, 0, 0, 0, 0, 5, 12, 60
"/home/radislav/Рабочий стол/RadAir-Delivery/src/stores/GeoContext.jsx", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 7, 40
"/home/radislav/Рабочий стол/RadAir-Delivery/src/stores/PrivateRoute.jsx", "JavaScript", 0, 13, 0, 0, 0, 0, 4, 6, 23
"/home/radislav/Рабочий стол/RadAir-Delivery/src/styles/BurgerMenu.css", "CSS", 0, 0, 91, 0, 0, 0, 1, 15, 107
"/home/radislav/Рабочий стол/RadAir-Delivery/src/styles/Card.css", "CSS", 0, 0, 23, 0, 0, 0, 0, 2, 25
"/home/radislav/Рабочий стол/RadAir-Delivery/src/styles/GeoModal.css", "CSS", 0, 0, 118, 0, 0, 0, 1, 14, 133
"/home/radislav/Рабочий стол/RadAir-Delivery/src/styles/Header.css", "CSS", 0, 0, 27, 0, 0, 0, 1, 2, 30
"Total", "-", 38, 1189, 543, 17668, 22, 46, 49, 278, 19833
